predicted_proba_original,predicted_proba_improved,event_type
0.9369939263559993,0.786970132639838,1
0.8799050647643563,0.8626573915452534,1
0.9078413339794065,0.9570422304372366,1
0.9377541962386441,0.5294343018419944,1
0.9217791253328048,0.8658309529412439,1
0.9607748171053159,0.7297529746003514,1
0.8048898495939817,0.9031784442818294,1
0.909690526658995,0.964889471450618,1
0.8661595509395609,0.8688084181461216,1
0.8627236577588515,0.7187142287498941,1
0.9541601202494485,0.8801832093331855,1
0.4460147130846026,0.9047239288506644,1
0.6091134208785677,0.7611472412887322,1
0.7535579765194603,0.36857102706423395,1
0.9200902054376376,0.7699144399604796,1
0.4840030401139629,0.7278284951976366,1
0.7456604445193102,0.7900343796717955,1
0.6625504847781926,0.8576346717432896,1
0.49859105399874054,0.4674088171274683,1
0.5827571332133438,0.6892780020067558,1
0.6162291568998826,0.7168266956127932,1
0.5437455685970823,0.6526118135758597,1
0.8542687529047004,0.7892178917717123,1
0.7897899682111448,0.9279310659692157,1
0.2678095463153157,0.7935838979376385,1
0.19778463971583085,0.7194257339324065,1
0.49499617547651736,0.5122588361824079,1
0.7321853576331863,0.8166303735473077,1
0.9382034489052323,0.7652677288562133,1
0.17456061464175993,0.5589331437681384,1
0.7526259610228284,0.3982385323741094,1
0.9157438509712211,0.7016081075011616,1
0.5822860859901828,0.40882731253477156,1
0.9672661190015341,0.9626402594707681,1
0.35166454177152295,0.4256013006613064,1
0.8851758585094328,0.8779880402662118,1
0.8752077364369464,0.5120543782165139,1
0.843060032852328,0.7775355437881762,1
0.17292693785264593,0.4516206046533508,1
0.9838633698789379,0.9897436507936509,1
0.8281546559908142,0.9582596620828927,1
0.4626676839299471,0.696276859019881,1
0.9631723070930199,0.9208442712399474,1
0.8603401497979958,0.9219794237058784,1
0.42817343820452514,0.232694802668376,1
0.8919877874386037,0.949413248989336,1
0.7591583567759699,0.7589756544457948,1
0.2723593486085644,0.636603205145135,1
0.9404971719981035,0.851792375020452,1
0.5433068785087469,0.8466317765296022,1
0.7613913662482302,0.3703909368855327,1
0.792623017798386,0.952775190520321,1
0.7799333396405769,0.6951991670103561,1
0.9796318031962801,0.8644861243721793,1
0.732032668980002,0.8337586902522619,1
0.42919627783906145,0.37104943326100637,1
0.8071461741997014,0.09812553358589979,1
0.5972950282100884,0.7311842758028974,1
0.8154952834803321,0.6542865847670635,1
0.6748606277379464,0.8111228854739895,1
0.361492944998774,0.46063410675484745,1
0.710950777259706,0.592833119322849,1
0.5364045344160313,0.7909864085463798,1
0.7322731242582955,0.7084640189609677,1
0.18833067498119826,0.47572020478115784,1
0.685305442429994,0.9034973676045256,1
0.814953438026787,0.8026882960867496,1
0.9329141696331987,0.9404640621182196,1
0.954564835055114,0.9451694311321631,1
0.9468869267598435,0.9195320524896552,1
0.8415591689104103,0.7562958274675803,1
0.9557928137651821,0.6111012766241016,1
0.7179615149314534,0.6104336911060133,1
0.39441162114926454,0.375574495693534,1
0.6322740174360157,0.2827567009553883,1
0.37539061396605555,0.8260225032006481,1
0.8088913690262963,0.908590773201214,1
0.9270576990115154,0.5765265817701448,1
0.2732895177523152,0.9179823287924139,1
0.8365120620952275,0.8451855920762832,1
0.7613562187820111,0.12060385984695841,1
0.11430768323622832,0.8199266238604378,1
0.9575264978051556,0.355132042223281,1
0.8801507557499475,0.8487677638180251,1
0.8986131554931464,0.7477751433589758,1
0.5808376497845092,0.812121396011332,1
0.7859169680938386,0.9343383418478775,1
0.24753901402402786,0.7925712191952902,1
0.803924715335316,0.4716490810216197,1
0.9353731490011081,0.8935485704379823,1
0.6816846201566843,0.8612755427861254,1
0.7215842522045612,0.8406851550804294,1
0.700177364050466,0.7663561034677473,1
0.6852678209450476,0.8275888184073094,1
0.30847284608698555,0.22832552389181143,1
0.451924876847748,0.6288196028585055,1
0.6150687629492629,0.6256331166361072,1
0.6600635823781748,0.9090464082730872,1
0.881107857090414,0.7497018294684951,1
0.5725004388119115,0.5987483996033103,1
0.8852434753583693,0.9383981095748797,1
0.43604036929280876,0.25368467083541757,1
0.15410641629172406,0.2057625201118686,1
0.8442483989826496,0.8774032951905137,1
0.6403448181548361,0.5100626350379476,1
0.8553120198111883,0.7158705088735756,1
0.351237480106173,0.9084851627454773,1
0.985231486671896,0.9543415226915615,1
0.9256792882975742,0.9198560878511486,1
0.8875100402647615,0.9450749167522784,1
0.79268834932299,0.0849036160150363,1
0.43400152157940225,0.8239723695229639,1
0.4233183902599308,0.5186631142647304,1
0.9499472425897946,0.8721214584772771,1
0.9376949654468179,0.4599040199981416,1
0.806183555731709,0.9119525471293168,1
0.8373810350117844,0.5895445321343182,1
0.5196622631713261,0.5880900887831467,1
0.555570999165459,0.6113411975256651,1
0.7126267464885468,0.4937614994869333,1
0.6128403989563457,0.6772887194898332,1
0.8993105809819053,0.8853556752669496,1
0.8372991816360947,0.48857341096648355,1
0.8180873052825609,0.9467935573469866,1
0.9220848093579417,0.9665234554030994,1
0.8040307410442735,0.9598423173989028,1
0.19122509059457535,0.23621965749326745,1
0.19002164280903258,0.47014421677716556,1
0.7860891028647299,0.6822086224305589,1
0.800461372647144,0.7772625055023156,1
0.14597518438705484,0.4335731829305633,1
0.9100670033851455,0.9385548786746207,1
0.8753643924925479,0.7427325023367797,1
0.2852922172631673,0.33681588571057147,1
0.9077017742860403,0.9382334892051811,1
0.48777835200560554,0.925303984561709,1
0.8399240758962815,0.8381050370000565,1
0.9339586201132885,0.9478764081455959,1
0.46760706704902255,0.8427572373860276,1
0.9384777010490776,0.9490159102208098,1
0.9584416177105973,0.9597385312701338,1
0.3539046398981961,0.24752219871435852,1
0.9589624754455349,0.9728794223492363,1
0.6330627495624926,0.7809787674715862,1
0.6875521940629465,0.9111819811105397,1
0.29629724367289956,0.798105503465572,1
0.7320151642019335,0.23106935098273154,1
0.8653276390678519,0.9494933304787969,1
0.2128443551745197,0.5445669979074612,1
0.8174620119834606,0.8271181350791588,1
0.910885008482341,0.9816787624868961,1
0.4953677201619794,0.4636557279159025,1
0.845572142840758,0.6133653255929107,1
0.31566094410450873,0.369028365050667,1
0.8551542653528972,0.6045098527587192,1
0.9056398321640919,0.8923953250675026,1
0.793772220581027,0.8347578053783745,1
0.7478109262305975,0.8858191757582913,1
0.7343521737929152,0.9090459677436303,1
0.5725639686198609,0.6479555411912044,1
0.7707747629891278,0.3214197692657164,1
0.736004787856797,0.891684887087558,1
0.9067399699530136,0.6885072548226161,1
0.7246578179039576,0.6884657729381393,1
0.8697289119808309,0.8041529463583329,1
0.9845220891377565,0.9481278887435106,1
0.8130545288934334,0.83690083102763,1
0.9606610879316761,0.8763106654832843,1
0.6127195614114119,0.6927050220412682,1
0.9408926732104885,0.7760926469061531,1
0.3464841961211753,0.31523622728438006,1
0.6270887784487053,0.8447850008951331,1
0.6917424406834537,0.6953096414731746,1
